n_scaffolds	n_contigs	scaf_bp	contig_bp	gap_pct	scaf_N50	scaf_L50	ctg_N50	ctg_L50	scaf_N90	scaf_L90	ctg_N90	ctg_L90	scaf_max	ctg_max	scaf_n_gt50K	scaf_pct_gt50K	gc_avg	gc_std	filename
29	29	3235	3232	0.093	10	113	10	113	24	76	24	76	260	260	0	0.000	0.52382	0.10026	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4466846.3.fasta
50	50	4494	4494	0.000	49	90	49	90	49	90	49	90	90	90	0	0.000	0.55073	0.02246	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4575333.3.fasta
2	2	180	180	0.000	2	90	2	90	2	90	2	90	90	90	0	0.000	0.56111	0.00550	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4575334.3.fasta
50	50	4463	4463	0.000	47	90	47	90	47	90	47	90	90	90	0	0.000	0.54694	0.03125	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4575335.3.fasta
50	50	4500	4500	0.000	50	90	50	90	50	90	50	90	90	90	0	0.000	0.54267	0.04615	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4575336.3.fasta
34	34	3038	3038	0.000	32	90	32	90	32	90	32	90	90	90	0	0.000	0.55497	0.02717	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4575337.3.fasta
3	3	270	270	0.000	3	90	3	90	3	90	3	90	90	90	0	0.000	0.55926	0.04477	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4575338.3.fasta
50	50	4484	4484	0.000	49	90	49	90	49	90	49	90	90	90	0	0.000	0.55330	0.02813	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4575339.3.fasta
50	50	4475	4475	0.000	47	90	47	90	47	90	47	90	90	90	0	0.000	0.55173	0.04337	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4575340.3.fasta
50	50	4485	4485	0.000	49	90	49	90	49	90	49	90	90	90	0	0.000	0.53690	0.02498	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4575341.3.fasta
50	50	4500	4500	0.000	50	90	50	90	50	90	50	90	90	90	0	0.000	0.53911	0.03204	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4575342.3.fasta
50	50	4484	4484	0.000	48	90	48	90	48	90	48	90	90	90	0	0.000	0.55375	0.02288	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4575343.3.fasta
7	7	630	630	0.000	7	90	7	90	7	90	7	90	90	90	0	0.000	0.57460	0.03022	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4575344.3.fasta
50	50	4500	4500	0.000	50	90	50	90	50	90	50	90	90	90	0	0.000	0.55222	0.03056	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4575345.3.fasta
50	50	4487	4487	0.000	49	90	49	90	49	90	49	90	90	90	0	0.000	0.54691	0.03427	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4575346.3.fasta
50	50	4500	4500	0.000	50	90	50	90	50	90	50	90	90	90	0	0.000	0.55422	0.03903	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4575347.3.fasta
50	50	4500	4500	0.000	50	90	50	90	50	90	50	90	90	90	0	0.000	0.54311	0.02814	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4575348.3.fasta
50	50	8028	8022	0.075	16	196	16	195	40	110	40	110	301	301	0	0.000	0.52244	0.07591	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4713898.3.fasta
50	50	8541	8540	0.012	17	213	17	213	40	115	40	115	301	301	0	0.000	0.51066	0.06177	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4713899.3.fasta
50	50	6451	6447	0.062	18	134	18	134	41	86	41	86	300	300	0	0.000	0.49232	0.12519	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4713900.3.fasta
50	50	8925	8922	0.034	17	214	17	213	41	111	41	111	301	301	0	0.000	0.52735	0.10594	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4713901.3.fasta
50	50	10911	10910	0.009	19	278	19	278	40	149	40	149	301	301	0	0.000	0.49982	0.07679	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4713902.3.fasta
50	50	8610	8608	0.023	17	192	17	192	41	113	41	113	301	301	0	0.000	0.53137	0.07080	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4713903.3.fasta
50	50	9626	9623	0.031	17	254	17	254	40	116	40	116	301	301	0	0.000	0.51211	0.07002	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4713904.3.fasta
50	50	7559	7557	0.026	15	170	15	170	41	88	41	88	301	301	0	0.000	0.51158	0.08414	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4713905.3.fasta
50	50	7564	7563	0.013	16	166	16	166	40	97	40	97	301	301	0	0.000	0.54396	0.07232	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4713906.3.fasta
50	50	7401	7400	0.014	16	163	16	162	41	97	41	97	281	281	0	0.000	0.54676	0.11218	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4713907.3.fasta
50	50	7302	7292	0.137	17	156	17	156	42	105	42	105	301	301	0	0.000	0.52441	0.07169	/home/huangsixing/Documents/mgrast_ge/fasta/mgm4713908.3.fasta
